"time","timeup","module","diceNumber","numberEntered","done","player","stage","stage","step","round","timestamp","session"
7980,"false","dice",3,3,"true","AU4GDJBSUOVLN39TFC7E","[object Object]","[object Object]","NA","NA",1512595201782,"lgc0"
11363,"false","dice",3,3,"true","AU4JSCQYFEDHWXGBIUP7","[object Object]","[object Object]","NA","NA",1512595205380,"lgc0"
11722,"false","dice",1,4,"true","AU3DGMEJFONVXQUCPW0A","[object Object]","[object Object]","NA","NA",1512595206351,"lgc0"
17760,"false","dice",4,4,"true","AU34IZO8QLBCKU0V29D1","[object Object]","[object Object]","NA","NA",1512595211925,"lgc0"
