"time","timeup","module","arrayAnsers","done","player","stage","stage","step","round","timestamp","session"
17791,"false","questionary3",6,"true","AU34IZO8QLBCKU0V29D1","[object Object]","[object Object]","NA","NA",1512595412840,"lgc0"
19620,"false","questionary3",4,"true","AU3DGMEJFONVXQUCPW0A","[object Object]","[object Object]","NA","NA",1512595414490,"lgc0"
31716,"false","questionary3",8,"true","AU4JSCQYFEDHWXGBIUP7","[object Object]","[object Object]","NA","NA",1512595427147,"lgc0"
43505,"false","questionary3",5,"true","AU4GDJBSUOVLN39TFC7E","[object Object]","[object Object]","NA","NA",1512595438383,"lgc0"
