"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
"1708","false","Module2","7","1200","1111","8","1200","false","120","1080","0.1","true","AUP2FX4V7WDBN690R58O","[object Object]","[object Object]","NA","7","1458859700146","lgc0"
"1310","false","Module2","7","750","777","5","40","false","4","746","0.1","true","AU1I24FYT6VKMGOUD0JR","[object Object]","[object Object]","NA","7","1458859700455","lgc0"
"3540","false","Module2","7","1200","1231","8","0","false","0","1200","0.1","true","AUXAPR62STVQKWIDJ45E","[object Object]","[object Object]","NA","7","1458859702110","lgc0"
"8328","false","Module2","7","1500","1531","10","0","false","0","1500","0.1","true","AUJR7QU261F84MT3OZ9E","[object Object]","[object Object]","NA","7","1458859707369","lgc0"
