access, exit, bonus, terminated
AUCHJB0D4OMIZ1LN9FEG, EWKD3EbkhOmwsFp9, 4762.825, false
AUUHZCLID9BFMQ2PG4T8, Ei0Xe87QPTLUtCKs, 4051.575, false
AUMVFKS4AC2U8GON7ZRX, E9CthdE18efxDBLb, 3195.325, false
