"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
2069,"false","Module2",3,1950,1760,13,1950,"false",585,1365,0.3,"true","AUWA5XHZ367OJ2RMDIBY","[object Object]","[object Object]","NA",3,1506105392429,"lgc0"
3363,"false","Module2",3,2100,1895,14,2000,"false",600,1500,0.3,"true","AUI8XBRAOD10MWHY5U2Z","[object Object]","[object Object]","NA",3,1506105393282,"lgc0"
3793,"false","Module2",3,1350,1745,9,0,"false",0,1350,0.3,"true","AU7IW2CMYEQVU9R45LT3","[object Object]","[object Object]","NA",3,1506105393831,"lgc0"
