"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
"4293","false","Module2","1","1500","1566.8333333333333","10","300","false","30","1470","0.1","true","AUV2X4EFNYL1QTDGM7C0","[object Object]","[object Object]","NA","1","1458940720303","lgc0"
"8272","false","Module2","1","2550","2396.8333333333335","17","2500","false","250","2300","0.1","true","AU9ZWQR8JIK137T4C56H","[object Object]","[object Object]","NA","1","1458940723940","lgc0"
"10225","false","Module2","1","1050","1136.3333333333333","7","105","false","10.5","1039.5","0.1","true","AUPR5FZ6D98S420Y3QA7","[object Object]","[object Object]","NA","1","1458940725979","lgc0"
