"time","timeup","module","age","gender","politics","trust","done","player","stage","stage","step","round","timestamp","session"
4828,"false","dataResult",20,"M",4,"A","true","AU5HQ1268RNKVSJPUOXD","[object Object]","[object Object]","NA","NA",1512732479469,"lgc0"
11617,"false","dataResult",20,"M",3,"A","true","AU5IWF9KDZBSCYMQN841","[object Object]","[object Object]","NA","NA",1512732486718,"lgc0"
16568,"false","dataResult",20,"F",5,"B","true","AU5J9O3GHACP2IXE8RMW","[object Object]","[object Object]","NA","NA",1512732491680,"lgc0"
24000,"false","dataResult",20,"M",3,"A","true","AU5NXK3JD2TZP6Y9HI7G","[object Object]","[object Object]","NA","NA",1512732499105,"lgc0"
