"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
1843,"false","Module2",2,2100,2135,14,600,"false",60,2040,0.1,"true","AUMV4NE98UFZ5J2GCTA3","[object Object]","[object Object]","NA",2,1488042348663,"lgc0"
4164,"false","Module2",2,2550,2445,17,2000,"false",200,2350,0.1,"true","AU8AEXDS1UP7OW63J54C","[object Object]","[object Object]","NA",2,1488042350131,"lgc0"
5794,"false","Module2",2,0,95,0,0,"false",0,0,0.1,"true","AUOAE3BITF7VSM9HZ582","[object Object]","[object Object]","NA",2,1488042351659,"lgc0"
9806,"false","Module2",2,2400,2375,16,1200,"false",120,2280,0.1,"true","AUVCNI4GT9DAJWHPFKYZ","[object Object]","[object Object]","NA",2,1488042356919,"lgc0"
