StartDate,EndDate,Progress,Duration (in seconds),Q2,Q2_3_TEXT,Q67,QTE1_1,QTE2_1,QTE3_1,QTE4_1
Start Date,End Date,Progress,Duration (in seconds),What is your gender? - Selected Choice,What is your gender? - Other - Text,Please enter your birth year,The Indian Election Commission has announced that the coming Indian elections will continue to use electronic voting machines. - How truthful is this statement?,"The Indian Election Commission has warned that there is likely to be extensive election fraud in the upcoming Lok Sabha elections because of the use of electronic voting machines, that can be easily hacked. - How truthful is this statement?","The Indian Election Commission has said all polling booths will have the voter-verified paper audit trail facility this election, a system in which voters can see on paper whether the machine has registered the same vote as the button they pressed. This provides an additional layer of security and reduces the possibility of massive electoral fraud. - How truthful is this statement?","The Indian Election Commission has been ordered to discontinue the use of voter-verified paper audit trail facility this election, an old system in which voters could see on paper whether the machine had registered the same vote as the button they had pressed. Opposition parties have alleged that the BJP is behind this change and that not using paper trail will lead to massive electoral fraud. - How truthful is this statement?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_3_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID309_1""}","{""ImportId"":""QID311_1""}","{""ImportId"":""QID312_1""}","{""ImportId"":""QID313_1""}"
01/04/2019 05:08,01/04/2019 05:10,100,79,Female,,1994,,9,,
01/04/2019 05:11,01/04/2019 05:12,100,74,Male,,1995,6,,,
01/04/2019 05:12,01/04/2019 05:14,100,146,Male,,1991,,,,0
01/04/2019 05:14,01/04/2019 05:16,100,116,Male,,1991,,,,8
01/04/2019 05:16,01/04/2019 05:17,100,65,Male,,1997,,9,,
01/04/2019 05:14,01/04/2019 05:17,100,180,Male,,1978,,,,8
01/04/2019 05:07,01/04/2019 05:18,100,615,Female,,1958,0,,,
01/04/2019 05:22,01/04/2019 05:24,100,102,Male,,1991,,9,,
01/04/2019 05:23,01/04/2019 05:24,100,53,Male,,1992,,,,9
01/04/2019 05:23,01/04/2019 05:25,100,124,Female,,1992,,,,
01/04/2019 05:24,01/04/2019 05:26,100,84,Female,,1995,,,9,
01/04/2019 05:27,01/04/2019 05:28,100,78,Male,,1992,,,,9
01/04/2019 05:26,01/04/2019 05:29,100,163,Male,,1993,,10,,
01/04/2019 05:27,01/04/2019 05:30,100,188,Male,,1990,6,,,
01/04/2019 05:30,01/04/2019 05:32,100,152,Male,,1992,,,,9
01/04/2019 05:38,01/04/2019 05:40,100,162,Female,,1989,,,7,
01/04/2019 05:40,01/04/2019 05:42,100,151,Female,,1974,,,5,
01/04/2019 05:41,01/04/2019 05:44,100,157,Female,,1986,,7,,
01/04/2019 05:30,01/04/2019 05:49,100,1144,Male,,1991,,6,,
01/04/2019 05:41,01/04/2019 05:52,100,654,Female,,1990,,,7,
01/04/2019 05:50,01/04/2019 05:53,100,164,Male,,1983,,8,,
01/04/2019 05:51,01/04/2019 05:53,100,94,Female,,1994,,,,
01/04/2019 05:51,01/04/2019 05:53,100,116,Male,,1993,,,,7
01/04/2019 05:53,01/04/2019 05:55,100,102,Female,,1992,8,,,
01/04/2019 05:53,01/04/2019 05:55,100,134,Male,,1977,10,,,
01/04/2019 05:53,01/04/2019 05:56,100,141,Male,,1994,,,9,
01/04/2019 05:56,01/04/2019 05:58,100,155,Male,,1998,10,,,
01/04/2019 05:56,01/04/2019 05:59,100,181,Male,,2000,6,,,
01/04/2019 05:55,01/04/2019 06:00,100,272,Male,,1986,,0,,
01/04/2019 06:00,01/04/2019 06:01,100,100,Male,,1989,,,,8
01/04/2019 05:57,01/04/2019 06:02,100,311,Female,,1981,,,,10
01/04/2019 05:59,01/04/2019 06:04,100,242,Male,,1998,,5,,
01/04/2019 06:02,01/04/2019 06:04,100,141,Male,,1991,,5,,
01/04/2019 06:06,01/04/2019 06:12,100,364,Male,,1990,5,,,
01/04/2019 06:10,01/04/2019 06:13,100,170,Male,,1965,,1,,
01/04/2019 06:16,01/04/2019 06:20,100,221,Female,,1997,,,,1
01/04/2019 06:17,01/04/2019 06:23,100,346,Male,,1952,,,3,
01/04/2019 06:22,01/04/2019 06:24,100,121,Male,,1993,9,,,
01/04/2019 06:30,01/04/2019 06:31,100,94,Male,,1994,,,,9
01/04/2019 06:30,01/04/2019 06:31,100,107,Female,,1990,,,10,
01/04/2019 06:33,01/04/2019 06:35,100,83,Male,,1994,,,,9
01/04/2019 06:46,01/04/2019 06:50,100,192,Male,,1984,,,,7
01/04/2019 06:51,01/04/2019 06:56,100,284,Male,,1992,,,,9
01/04/2019 06:57,01/04/2019 06:59,100,128,Male,,1995,,,9,
01/04/2019 07:02,01/04/2019 07:07,100,288,Male,,1995,,,,7
01/04/2019 07:06,01/04/2019 07:11,100,282,Male,,1984,7,,,
01/04/2019 07:11,01/04/2019 07:15,100,216,Female,,1990,9,,,
01/04/2019 07:20,01/04/2019 07:23,100,162,Male,,1977,,10,,
01/04/2019 07:23,01/04/2019 07:26,100,195,Male,,1996,,,9,
01/04/2019 07:28,01/04/2019 07:30,100,66,Male,,1986,,,10,
01/04/2019 07:36,01/04/2019 07:38,100,133,Male,,1992,8,,,
01/04/2019 07:47,01/04/2019 07:48,100,68,Female,,2003,6,,,
01/04/2019 07:51,01/04/2019 07:53,100,95,Male,,1981,,9,,
01/04/2019 07:38,01/04/2019 07:55,100,1010,Male,,1976,,,,1
