"","muID","time","timeup","module","round","prelimGain","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage.1","step","round.1","timestamp","session","room","round_number","complete_rooms_module2","cheat","report.rate","age","gender","politics","trust","DictGive","role","other","diceNumber","numberEntered","risk1","risk2","risk3","risk4","risk5","risk6","risk7","risk8","risk9","risk10","integrity1","integrity2","integrity3","integrity4","integrity5","integrity6","integrity7","integrity8","integrity9","integrity10","auditRate","audited","treat","taxBracket","report.rate.cess.panel","sample","risk.pref","total.integrity"
"11","AU0ODT5AE89UXFBM3L2Nroom_1513960630532","11285","false","Module2","1",1050,1052,7,840,"false",84,966,10,"true","AU0ODT5AE89UXFBM3L2N","[objectObject]","[objectObject]",NA,"1","1513961031635","./data//session.dec/room_1513960630532/memory_Module2_6.3.1.csv","room_1513960630532",1,FALSE,1,0.8,"18","M","8","A","500","B","AU0LFJQWSNZEIUP16C7A","4","4",1,1,0,0,1,0,1,0,1,0,3,1,3,3,2,3,1,2,3,3,0.1,"false",1,3,0.8,"CESS Online Panel - DS",5,24
"12","AU0ODT5AE89UXFBM3L2Nroom_1513960630532","2685","false","Module2","3",1050,1050,7,1000,"false",100,950,10,"true","AU0ODT5AE89UXFBM3L2N","[objectObject]","[objectObject]",NA,"3","1513961216115","./data//session.dec/room_1513960630532/memory_Module2_6.3.3.csv","room_1513960630532",3,FALSE,1,0.952380952380952,"18","M","8","A","500","B","AU0LFJQWSNZEIUP16C7A","4","4",1,1,0,0,1,0,1,0,1,0,3,1,3,3,2,3,1,2,3,3,0.1,"false",1,3,0.952380952380952,"CESS Online Panel - DS",5,24
"13","AU0ODT5AE89UXFBM3L2Nroom_1517335306260","9547","false","Module2","2",1650,1391.85,11,1650,"false",495,1155,30,"true","AU0ODT5AE89UXFBM3L2N","[objectObject]","[objectObject]",NA,"2","1517335893851","./data//session.feb/room_1517335306260/memory_Module2_6.3.2.csv","room_1517335306260",2,TRUE,0,1,NA,NA,NA,NA,"500","B","AU1I24FYT6VKMGOUD0JR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"false",2,1,1,"CESS Online Panel - DS",0,0
"14","AU0ODT5AE89UXFBM3L2Nroom_1517335306260","6348","false","Module2","3",1350,1193.025,9,1350,"false",405,945,30,"true","AU0ODT5AE89UXFBM3L2N","[objectObject]","[objectObject]",NA,"3","1517335968369","./data//session.feb/room_1517335306260/memory_Module2_6.3.3.csv","room_1517335306260",3,TRUE,0,1,NA,NA,NA,NA,"500","B","AU1I24FYT6VKMGOUD0JR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"false",2,1,1,"CESS Online Panel - DS",0,0
"15","AU0ODT5AE89UXFBM3L2Nroom_1517335306260","7279","false","Module2","4",1950,1635.3,13,1950,"false",585,1365,30,"true","AU0ODT5AE89UXFBM3L2N","[objectObject]","[objectObject]",NA,"4","1517336043566","./data//session.feb/room_1517335306260/memory_Module2_6.3.4.csv","room_1517335306260",4,TRUE,0,1,NA,NA,NA,NA,"500","B","AU1I24FYT6VKMGOUD0JR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"false",2,1,1,"CESS Online Panel - DS",0,0
"16","AU0ODT5AE89UXFBM3L2Nroom_1517335306260","4967","false","Module2","10",2400,1972.575,16,2400,"false",720,1680,30,"true","AU0ODT5AE89UXFBM3L2N","[objectObject]","[objectObject]",NA,"10","1517336520405","./data//session.feb/room_1517335306260/memory_Module2_6.3.10.csv","room_1517335306260",10,TRUE,0,1,NA,NA,NA,NA,"500","B","AU1I24FYT6VKMGOUD0JR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"false",2,1,1,"CESS Online Panel - DS",0,0
"17","AU0ODT5AE89UXFBM3L2Nroom_1517335306260","4204","false","Module2","6",1950,1590,13,1950,"false",585,1365,30,"true","AU0ODT5AE89UXFBM3L2N","[objectObject]","[objectObject]",NA,"6","1517336206501","./data//session.feb/room_1517335306260/memory_Module2_6.3.6.csv","room_1517335306260",6,TRUE,0,1,NA,NA,NA,NA,"500","B","AU1I24FYT6VKMGOUD0JR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"false",2,1,1,"CESS Online Panel - DS",0,0
"18","AU0ODT5AE89UXFBM3L2Nroom_1517335306260","5786","false","Module2","9",1950,1668.825,13,1950,"false",585,1365,30,"true","AU0ODT5AE89UXFBM3L2N","[objectObject]","[objectObject]",NA,"9","1517336442905","./data//session.feb/room_1517335306260/memory_Module2_6.3.9.csv","room_1517335306260",9,TRUE,0,1,NA,NA,NA,NA,"500","B","AU1I24FYT6VKMGOUD0JR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"false",2,1,1,"CESS Online Panel - DS",0,0
"19","AU0ODT5AE89UXFBM3L2Nroom_1517335306260","16559","false","Module2","1",1650,1369.2,11,1650,"false",495,1155,30,"true","AU0ODT5AE89UXFBM3L2N","[objectObject]","[objectObject]",NA,"1","1517335815077","./data//session.feb/room_1517335306260/memory_Module2_6.3.1.csv","room_1517335306260",1,TRUE,0,1,NA,NA,NA,NA,"500","B","AU1I24FYT6VKMGOUD0JR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"false",2,1,1,"CESS Online Panel - DS",0,0
"20","AU0ODT5AE89UXFBM3L2Nroom_1517335306260","7304","false","Module2","5",2250,1890.075,15,2250,"false",675,1575,30,"true","AU0ODT5AE89UXFBM3L2N","[objectObject]","[objectObject]",NA,"5","1517336116123","./data//session.feb/room_1517335306260/memory_Module2_6.3.5.csv","room_1517335306260",5,TRUE,0,1,NA,NA,NA,NA,"500","B","AU1I24FYT6VKMGOUD0JR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"false",2,1,1,"CESS Online Panel - DS",0,0
