Duration (in seconds),RecordedDate,consent,gender,gender_other,yob,Q510_1,Q511_1,Q512_1,Q513_1
1409,2019-04-07T01:07:09Z,"Yes, I have read and understood the rules.",Male,NA,1981,6,NA,NA,NA
733,2019-04-07T01:41:07Z,"Yes, I have read and understood the rules.",Male,NA,1998,NA,NA,7,NA
903,2019-04-07T01:46:43Z,"Yes, I have read and understood the rules.",Female,NA,1986,NA,NA,NA,1
1021,2019-04-07T02:25:15Z,"Yes, I have read and understood the rules.",Male,NA,1999,NA,NA,7,NA
824,2019-04-07T02:42:13Z,"Yes, I have read and understood the rules.",Female,NA,1990,NA,NA,7,NA
633,2019-04-07T03:07:32Z,"Yes, I have read and understood the rules.",Male,NA,1991,NA,9,NA,NA
774,2019-04-07T03:37:46Z,"Yes, I have read and understood the rules.",Male,NA,1975,NA,4,NA,NA
815,2019-04-07T03:53:40Z,"Yes, I have read and understood the rules.",Male,NA,1988,NA,NA,NA,2
1514,2019-04-07T05:08:05Z,"Yes, I have read and understood the rules.",Male,NA,1961,NA,1,NA,NA
785,2019-04-07T06:19:59Z,"Yes, I have read and understood the rules.",Female,NA,1980,9,NA,NA,NA
867,2019-04-07T06:34:54Z,"Yes, I have read and understood the rules.",Male,NA,1998,NA,1,NA,NA
737,2019-04-07T07:04:56Z,"Yes, I have read and understood the rules.",Male,NA,1983,NA,7,NA,NA
1123,2019-04-07T07:07:09Z,"Yes, I have read and understood the rules.",Female,NA,2000,NA,7,NA,NA
1672,2019-04-07T07:32:41Z,"Yes, I have read and understood the rules.",Male,NA,1996,NA,10,NA,NA
1054,2019-04-07T07:36:50Z,"Yes, I have read and understood the rules.",Male,NA,1978,NA,NA,6,NA
700,2019-04-07T08:18:36Z,"Yes, I have read and understood the rules.",Male,NA,1993,NA,NA,8,NA
2036,2019-04-07T08:58:45Z,"Yes, I have read and understood the rules.",Female,NA,1963,NA,NA,5,NA
779,2019-04-07T11:22:04Z,"Yes, I have read and understood the rules.",Male,NA,2000,NA,NA,NA,2
1093,2019-04-07T11:27:09Z,"Yes, I have read and understood the rules.",Male,NA,2000,NA,NA,NA,5
1143,2019-04-07T11:38:42Z,"Yes, I have read and understood the rules.",Male,NA,1990,NA,7,NA,NA
986,2019-04-07T12:07:43Z,"Yes, I have read and understood the rules.",Male,NA,1998,NA,NA,2,NA
682,2019-04-07T13:17:25Z,"Yes, I have read and understood the rules.",Female,NA,2000,NA,NA,NA,10
78209,2019-04-07T19:50:23Z,"Yes, I have read and understood the rules.",Female,NA,1961,NA,0,NA,NA
79709,2019-04-07T21:28:01Z,"Yes, I have read and understood the rules.",Male,NA,1971,NA,NA,10,NA
339,2019-04-07T21:44:17Z,"Yes, I have read and understood the rules.",Female,NA,1999,NA,NA,8,NA
480,2019-04-07T21:44:28Z,"Yes, I have read and understood the rules.",Male,NA,1999,NA,0,NA,NA
487,2019-04-07T21:45:03Z,"Yes, I have read and understood the rules.",Male,NA,1996,10,NA,NA,NA
455,2019-04-07T21:45:35Z,"Yes, I have read and understood the rules.",Male,NA,1986,NA,NA,6,NA
525,2019-04-07T21:45:48Z,"Yes, I have read and understood the rules.",Female,NA,1997,NA,NA,NA,0
508,2019-04-07T21:46:22Z,"Yes, I have read and understood the rules.",Female,NA,1995,NA,NA,NA,4
578,2019-04-07T21:46:30Z,"Yes, I have read and understood the rules.",Male,NA,1996,NA,0,NA,NA
574,2019-04-07T21:46:37Z,"Yes, I have read and understood the rules.",Male,NA,1990,NA,7,NA,NA
591,2019-04-07T21:46:54Z,"Yes, I have read and understood the rules.",Male,NA,1995,NA,4,NA,NA
612,2019-04-07T21:47:00Z,"Yes, I have read and understood the rules.",Female,NA,1998,7,NA,NA,NA
610,2019-04-07T21:47:06Z,"Yes, I have read and understood the rules.",Male,NA,1997,NA,5,NA,NA
563,2019-04-07T21:47:10Z,"Yes, I have read and understood the rules.",Male,NA,1985,NA,8,NA,NA
636,2019-04-07T21:47:13Z,"Yes, I have read and understood the rules.",Male,NA,1994,NA,5,NA,NA
599,2019-04-07T21:47:25Z,"Yes, I have read and understood the rules.",Male,NA,1985,NA,NA,9,NA
650,2019-04-07T21:48:03Z,"Yes, I have read and understood the rules.",Male,NA,1997,NA,NA,6,NA
621,2019-04-07T21:48:47Z,"Yes, I have read and understood the rules.",Male,NA,1979,NA,NA,7,NA
726,2019-04-07T21:48:50Z,"Yes, I have read and understood the rules.",Male,NA,1997,NA,3,NA,NA
715,2019-04-07T21:48:52Z,"Yes, I have read and understood the rules.",Male,NA,1997,10,NA,NA,NA
719,2019-04-07T21:49:15Z,"Yes, I have read and understood the rules.",Male,NA,1994,10,NA,NA,NA
623,2019-04-07T21:50:07Z,"Yes, I have read and understood the rules.",Male,NA,1996,NA,NA,NA,7
652,2019-04-07T21:50:17Z,"Yes, I have read and understood the rules.",Male,NA,1997,NA,NA,3,NA
469,2019-04-07T21:50:20Z,"Yes, I have read and understood the rules.",Male,NA,1998,9,NA,NA,NA
801,2019-04-07T21:50:31Z,"Yes, I have read and understood the rules.",Female,NA,1994,8,NA,NA,NA
670,2019-04-07T21:50:42Z,"Yes, I have read and understood the rules.",Male,NA,1989,10,NA,NA,NA
881,2019-04-07T21:50:47Z,"Yes, I have read and understood the rules.",Female,NA,1968,NA,NA,NA,4
779,2019-04-07T21:51:02Z,"Yes, I have read and understood the rules.",Male,NA,1998,NA,NA,10,NA
903,2019-04-07T21:51:23Z,"Yes, I have read and understood the rules.",Male,NA,1998,NA,3,NA,NA
862,2019-04-07T21:51:24Z,"Yes, I have read and understood the rules.",Male,NA,1995,NA,NA,NA,4
827,2019-04-07T21:51:40Z,"Yes, I have read and understood the rules.",Male,NA,1999,NA,NA,9,NA
757,2019-04-07T21:51:44Z,"Yes, I have read and understood the rules.",Male,NA,1992,NA,NA,10,NA
665,2019-04-07T21:51:46Z,"Yes, I have read and understood the rules.",Male,NA,1996,NA,7,NA,NA
810,2019-04-07T21:52:15Z,"Yes, I have read and understood the rules.",Female,NA,1998,NA,NA,NA,5
485,2019-04-07T21:52:23Z,"Yes, I have read and understood the rules.",Female,NA,1996,NA,2,NA,NA
935,2019-04-07T21:52:35Z,"Yes, I have read and understood the rules.",Female,NA,1999,7,NA,NA,NA
931,2019-04-07T21:53:05Z,"Yes, I have read and understood the rules.",Male,NA,1985,NA,NA,5,NA
367,2019-04-07T21:53:16Z,"Yes, I have read and understood the rules.",Female,NA,1998,NA,NA,NA,5
916,2019-04-07T21:53:16Z,"Yes, I have read and understood the rules.",Female,NA,1996,NA,3,NA,NA
920,2019-04-07T21:53:37Z,"Yes, I have read and understood the rules.",Male,NA,1983,NA,NA,NA,0
897,2019-04-07T21:53:50Z,"Yes, I have read and understood the rules.",Male,NA,1990,NA,NA,NA,6
779,2019-04-07T21:54:04Z,"Yes, I have read and understood the rules.",Female,NA,1988,NA,5,NA,NA
1012,2019-04-07T21:54:20Z,"Yes, I have read and understood the rules.",Male,NA,1994,NA,NA,8,NA
1031,2019-04-07T21:54:23Z,"Yes, I have read and understood the rules.",Female,NA,1993,NA,NA,NA,2
