"","muID","time","timeup","module","round","prelimGain","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","stage","stage.1","step","round.1","timestamp","session","room","round_number","complete_rooms_module2","cheat","report.rate","age","gender","politics","trust","DictGive","role","other","risk1","risk2","risk3","risk4","risk5","risk6","risk7","risk8","risk9","risk10","integrity1","integrity2","integrity3","integrity4","integrity5","integrity6","integrity7","integrity8","integrity9","integrity10","auditRate","audited","taxBracket","report.rate.lab.online.sync","sample","treat","risk.pref","total.integrity"
"13","AU0ODT5AE89UXFBM3L2N","7899","false","Module2","10",1050,1240.5,7,40,"false",12,1038,30,"true","[objectObject]","[objectObject]",NA,"10","1488029390025","./data//room_1488028101450/memory_Module2_6.3.10.csv","room_1488028101450",10,TRUE,1,0.0380952380952381,"19",NA,"6","B","50","A","AUMQ7KD62U5GVW9ZA381",1,1,0,0,0,0,0,1,0,1,2,1,2,2,1,2,1,1,1,1,0,"false",1,0.0380952380952381,"Online Sync",2,4,14
"14","AU0ODT5AE89UXFBM3L2N","7016","false","Module2","8",1200,1388.25,8,100,"false",30,1170,30,"true","[objectObject]","[objectObject]",NA,"8","1488029220027","./data//room_1488028101450/memory_Module2_6.3.8.csv","room_1488028101450",8,TRUE,1,0.0833333333333333,"19",NA,"6","B","50","A","AUMQ7KD62U5GVW9ZA381",1,1,0,0,0,0,0,1,0,1,2,1,2,2,1,2,1,1,1,1,0,"false",1,0.0833333333333333,"Online Sync",2,4,14
"15","AU0ODT5AE89UXFBM3L2N","14119","false","Module2","1",750,893.25,5,100,"false",30,720,30,"true","[objectObject]","[objectObject]",NA,"1","1488028618303","./data//room_1488028101450/memory_Module2_6.3.1.csv","room_1488028101450",1,TRUE,1,0.133333333333333,"19",NA,"6","B","50","A","AUMQ7KD62U5GVW9ZA381",1,1,0,0,0,0,0,1,0,1,2,1,2,2,1,2,1,1,1,1,0,"false",1,0.133333333333333,"Online Sync",2,4,14
"16","AU0ODT5AE89UXFBM3L2N","4352","false","Module2","5",1050,1231.875,7,95,"false",28.5,1021.5,30,"true","[objectObject]","[objectObject]",NA,"5","1488028962550","./data//room_1488028101450/memory_Module2_6.3.5.csv","room_1488028101450",5,TRUE,1,0.0904761904761905,"19",NA,"6","B","50","A","AUMQ7KD62U5GVW9ZA381",1,1,0,0,0,0,0,1,0,1,2,1,2,2,1,2,1,1,1,1,0,"false",1,0.0904761904761905,"Online Sync",2,4,14
"17","AU0ODT5AE89UXFBM3L2N","10899","false","Module2","3",1050,1237.5,7,110,"false",33,1017,30,"true","[objectObject]","[objectObject]",NA,"3","1488028796682","./data//room_1488028101450/memory_Module2_6.3.3.csv","room_1488028101450",3,TRUE,1,0.104761904761905,"19",NA,"6","B","50","A","AUMQ7KD62U5GVW9ZA381",1,1,0,0,0,0,0,1,0,1,2,1,2,2,1,2,1,1,1,1,0,"false",1,0.104761904761905,"Online Sync",2,4,14
"18","AU0ODT5AE89UXFBM3L2N","14603","false","Module2","2",900,1074,6,50,"false",15,885,30,"true","[objectObject]","[objectObject]",NA,"2","1488028712483","./data//room_1488028101450/memory_Module2_6.3.2.csv","room_1488028101450",2,TRUE,1,0.0555555555555556,"19",NA,"6","B","50","A","AUMQ7KD62U5GVW9ZA381",1,1,0,0,0,0,0,1,0,1,2,1,2,2,1,2,1,1,1,1,0,"false",1,0.0555555555555556,"Online Sync",2,4,14
"19","AU0ODT5AE89UXFBM3L2N","9708","false","Module2","6",1200,1399.5,8,100,"false",30,1170,30,"true","[objectObject]","[objectObject]",NA,"6","1488029052594","./data//room_1488028101450/memory_Module2_6.3.6.csv","room_1488028101450",6,TRUE,1,0.0833333333333333,"19",NA,"6","B","50","A","AUMQ7KD62U5GVW9ZA381",1,1,0,0,0,0,0,1,0,1,2,1,2,2,1,2,1,1,1,1,0,"false",1,0.0833333333333333,"Online Sync",2,4,14
"20","AU0ODT5AE89UXFBM3L2N","8651","false","Module2","7",1200,1322.25,8,360,"false",108,1092,30,"true","[objectObject]","[objectObject]",NA,"7","1488029141029","./data//room_1488028101450/memory_Module2_6.3.7.csv","room_1488028101450",7,TRUE,1,0.3,"19",NA,"6","B","50","A","AUMQ7KD62U5GVW9ZA381",1,1,0,0,0,0,0,1,0,1,2,1,2,2,1,2,1,1,1,1,0,"false",1,0.3,"Online Sync",2,4,14
"21","AU1GUFTK8EIBCQHSR9ZN","4665","false","Module2","9",3450,3453.75,23,3450,"true",345,3105,10,"true","[objectObject]","[objectObject]",NA,"9","1489614242835","./data//room_1489612930406/memory_Module2_6.3.9.csv","room_1489612930406",9,TRUE,0,1,"23","F","3","B","0","B","AU9PME48Y7CI2DQAUK6R",0,0,0,0,1,1,1,1,1,1,2,1,1,3,3,2,2,1,1,1,0.1,"true",3,1,"Online Sync",1,6,17
"22","AU1GUFTK8EIBCQHSR9ZN","6906","false","Module2","3",2250,2151.75,15,2250,"false",225,2025,10,"true","[objectObject]","[objectObject]",NA,"3","1489613742996","./data//room_1489612930406/memory_Module2_6.3.3.csv","room_1489612930406",3,TRUE,0,1,"23","F","3","B","0","B","AU9PME48Y7CI2DQAUK6R",0,0,0,0,1,1,1,1,1,1,2,1,1,3,3,2,2,1,1,1,0.1,"false",3,1,"Online Sync",1,6,17
