"","muID","time","timeup","module","round","prelimGain","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage.1","step","round.1","timestamp","session","room","round_number","complete_rooms_module2","cheat","report.rate","age","gender","politics","trust","DictGive","role","other","diceNumber","numberEntered","risk1","risk2","risk3","risk4","risk5","risk6","risk7","risk8","risk9","risk10","integrity1","integrity2","integrity3","integrity4","integrity5","integrity6","integrity7","integrity8","integrity9","integrity10","auditRate","audited","treat","taxBracket","report.rate.mturk.ds","sample","risk.pref","total.integrity"
"297","AU4G1YSBXHL2PQVO9WNIsession3room_1506105164867","9946","false","Module2","1",2400,2195,16,2000,"false",600,1800,30,"true","AU4G1YSBXHL2PQVO9WNI","[objectObject]","[objectObject]",NA,"1","1506105977486","session3","room_1506105164867",1,FALSE,1,0.833333333333333,"31",NA,"7","B","500","B","AUTAWLKOZ6J2P719SR5V","2","2",0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,1,1,1,3,3,0.1,"false",1,1,0.833333333333333,"Mturk-DS",4,23
"298","AU4G1YSBXHL2PQVO9WNIsession3room_1506105164867","10870","false","Module2","4",2100,1925,14,1850,"false",555,1545,30,"true","AU4G1YSBXHL2PQVO9WNI","[objectObject]","[objectObject]",NA,"4","1506106366647","session3","room_1506105164867",4,FALSE,1,0.880952380952381,"31",NA,"7","B","500","B","AUTAWLKOZ6J2P719SR5V","2","2",0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,1,1,1,3,3,0.1,"false",1,1,0.880952380952381,"Mturk-DS",4,23
"299","AU4G1YSBXHL2PQVO9WNIsession3room_1506105164867","15326","false","Module2","3",2400,2070,16,2400,"false",720,1680,30,"true","AU4G1YSBXHL2PQVO9WNI","[objectObject]","[objectObject]",NA,"3","1506106240715","session3","room_1506105164867",3,FALSE,0,1,"31",NA,"7","B","500","B","AUTAWLKOZ6J2P719SR5V","2","2",0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,1,1,1,3,3,0.1,"false",1,1,1,"Mturk-DS",4,23
"300","AU4G1YSBXHL2PQVO9WNIsession4room_1506259218388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100","B","AUTAWLKOZ6J2P719SR5V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,NA,NA,"Mturk-DS",0,0
"301","AU4GDJBSUOVLN39TFC7Esession3room_1506104651791","12361","false","Module2","4",1050,1051.25,7,1050,"false",105,945,10,"true","AU4GDJBSUOVLN39TFC7E","[objectObject]","[objectObject]",NA,"4","1506105413245","session3","room_1506104651791",4,FALSE,0,1,"29","F","0","A","0","B","AUMVFKS4AC2U8GON7ZRX","2","6",0,0,0,0,0,0,1,1,1,1,1,1,1,4,3,1,1,1,3,1,0.1,"false",1,3,1,"Mturk-DS",4,17
"302","AU4GDJBSUOVLN39TFC7Esession3room_1506104651791","27032","false","Module2","3",1050,1141.175,7,1,"false",0.1,1049.9,10,"true","AU4GDJBSUOVLN39TFC7E","[objectObject]","[objectObject]",NA,"3","1506105323944","session3","room_1506104651791",3,FALSE,1,0.000952380952380952,"29","F","0","A","0","B","AUMVFKS4AC2U8GON7ZRX","2","6",0,0,0,0,0,0,1,1,1,1,1,1,1,4,3,1,1,1,3,1,0.1,"false",1,3,0.000952380952380952,"Mturk-DS",4,17
"303","AU4GDJBSUOVLN39TFC7Esession3room_1506104651791","12100","false","Module2","1",450,680.55,3,1,"false",0.1,449.9,10,"true","AU4GDJBSUOVLN39TFC7E","[objectObject]","[objectObject]",NA,"1","1506105104827","session3","room_1506104651791",1,FALSE,1,0.00222222222222222,"29","F","0","A","0","B","AUMVFKS4AC2U8GON7ZRX","2","6",0,0,0,0,0,0,1,1,1,1,1,1,1,4,3,1,1,1,3,1,0.1,"false",1,3,0.00222222222222222,"Mturk-DS",4,17
"304","AU4GDJBSUOVLN39TFC7Esession3room_1506104651791","22229","false","Module2","2",900,959.85,6,2,"false",0.2,899.8,10,"true","AU4GDJBSUOVLN39TFC7E","[objectObject]","[objectObject]",NA,"2","1506105211523","session3","room_1506104651791",2,FALSE,1,0.00222222222222222,"29","F","0","A","0","B","AUMVFKS4AC2U8GON7ZRX","2","6",0,0,0,0,0,0,1,1,1,1,1,1,1,4,3,1,1,1,3,1,0.1,"false",1,3,0.00222222222222222,"Mturk-DS",4,17
"305","AU4GDJBSUOVLN39TFC7Esession4room_1506261128171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","A","AUMVFKS4AC2U8GON7ZRX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,NA,NA,"Mturk-DS",0,0
"306","AU4GDJBSUOVLN39TFC7Esession5room_1506289045897","2999","false","Module2","2",1200,1260,8,50,"false",5,1195,10,"true","AU4GDJBSUOVLN39TFC7E","[objectObject]","[objectObject]",NA,"2","1506289516639","session5","room_1506289045897",2,FALSE,1,0.0416666666666667,"47","M","5","A","500","A","AUMVFKS4AC2U8GON7ZRX","5","5",1,1,1,1,0,0,0,0,0,0,1,1,1,4,1,1,1,1,1,1,0.1,"false",1,3,0.0416666666666667,"Mturk-DS",4,13
