"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
1425,"false","Module2",3,900,915,6,900,"false",90,810,0.1,"true","AUB74LVD2P6GCH5JI1YN","[object Object]","[object Object]","NA",3,1518725503267,"lgc0"
3552,"false","Module2",3,1200,1185,8,1200,"false",120,1080,0.1,"true","AU9OUC4YAQV6SM0KI8PE","[object Object]","[object Object]","NA",3,1518725505106,"lgc0"
8484,"false","Module2",3,750,780,5,750,"false",75,675,0.1,"true","AU9ZWQR8JIK137T4C56H","[object Object]","[object Object]","NA",3,1518725510075,"lgc0"
18217,"false","Module2",3,1350,1320,9,1350,"false",135,1215,0.1,"true","AUAZ82E3SFTUKNQ6BVPY","[object Object]","[object Object]","NA",3,1518725519681,"lgc0"
