"time","timeup","value","done","player","stage","stage","step","round","timestamp","session"
13301,"false",0,"true","AU9ZWQR8JIK137T4C56H","[object Object]","[object Object]","NA","NA",1518726697616,"lgc0"
16709,"false",500,"true","AU9OUC4YAQV6SM0KI8PE","[object Object]","[object Object]","NA","NA",1518726701118,"lgc0"
17117,"false",50,"true","AUB74LVD2P6GCH5JI1YN","[object Object]","[object Object]","NA","NA",1518726704850,"lgc0"
22913,"false",950,"true","AUAZ82E3SFTUKNQ6BVPY","[object Object]","[object Object]","NA","NA",1518726707176,"lgc0"
