"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
8906,"false","Module2",2,750,802.5,5,750,"false",225,525,0.3,"true","AUHONJ2KPBDTZ09QW7LY","[object Object]","[object Object]","NA",2,1519935317908,"lgc0"
10222,"false","Module2",2,750,802.5,5,750,"false",225,525,0.3,"true","AUH4GFEBVOI3D7P2QTYL","[object Object]","[object Object]","NA",2,1519935319696,"lgc0"
11312,"false","Module2",2,1200,1117.5,8,1200,"false",360,840,0.3,"true","AUHK4WS129PBIDYGZ8QJ","[object Object]","[object Object]","NA",2,1519935320303,"lgc0"
30001,"false","Module2",2,1650,1627.5,11,1000,"false",300,1350,0.3,"true","AUHBFXP7NR56MVCQSIZ8","[object Object]","[object Object]","NA",2,1519935339614,"lgc0"
