"time","timeup","module","arrayAnswers","0","1","2","3","4","5","6","7","8","9","done","player","stage","stage","step","round","timestamp","session"
26585,"false","Module4","A\,A\,A\,A\,A\,B\,B\,B\,B\,B","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","true","AUZ6N510COADMH7JIGST","[object Object]","[object Object]","NA","NA",1489615227008,"lgc0"
57619,"false","Module4","A\,A\,A\,A\,A\,B\,B\,B\,B\,B","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","true","AUFX9P8WTBJDRUQVL762","[object Object]","[object Object]","NA","NA",1489615257799,"lgc0"
116293,"false","Module4","A\,A\,A\,A\,A\,A\,A\,B\,B\,B","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","true","AUAZ82E3SFTUKNQ6BVPY","[object Object]","[object Object]","NA","NA",1489615316773,"lgc0"
179998,"false","Module4","A\,A\,A\,A\,A\,-\,-\,-\,-\,-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","true","AUMT14D2A9BRPH75KZGN","[object Object]","[object Object]","NA","NA",1489615380485,"lgc0"
