"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
"1644","false","Module2","7","2100","1737.075","14","2100","false","630","1470","0.3","true","AUF1AVDU68O5WE4SMH0J","[object Object]","[object Object]","NA","7","1458941920496","lgc0"
"2793","false","Module2","7","1800","2033.775","12","111","false","33.3","1766.7","0.3","true","AUDT45E9IWS3LZAX2V8B","[object Object]","[object Object]","NA","7","1458941922699","lgc0"
"5595","false","Module2","7","1500","1632.075","10","450","false","135","1365","0.3","true","AUMQ2KPLOGYCUJI5AEND","[object Object]","[object Object]","NA","7","1458941924492","lgc0"
"5656","false","Module2","7","900","897.075","6","900","false","270","630","0.3","true","AUFDU4ZOBPEVX9S2ILHJ","[object Object]","[object Object]","NA","7","1458941924652","lgc0"
