"time","timeup","module","arrayAnsers","done","player","stage","stage","step","round","timestamp","session"
"8307","false","questionary3","15","true","AUF1AVDU68O5WE4SMH0J","[object Object]","[object Object]","NA","NA","1458942461040","lgc0"
"9012","false","questionary3","7","true","AUDT45E9IWS3LZAX2V8B","[object Object]","[object Object]","NA","NA","1458942463274","lgc0"
"12849","false","questionary3","13","true","AUMQ2KPLOGYCUJI5AEND","[object Object]","[object Object]","NA","NA","1458942465240","lgc0"
"13596","false","questionary3","7","true","AUFDU4ZOBPEVX9S2ILHJ","[object Object]","[object Object]","NA","NA","1458942466150","lgc0"
