"time","timeup","module","age","gender","politics","trust","done","player","stage","stage","step","round","timestamp","session"
"18696","false","dataResult","32","M","5","B","true","AUMQ2KPLOGYCUJI5AEND","[object Object]","[object Object]","NA","NA","1458942334793","lgc0"
"18979","false","dataResult","41","F","5","B","true","AUF1AVDU68O5WE4SMH0J","[object Object]","[object Object]","NA","NA","1458942335421","lgc0"
"19679","false","dataResult","39","M","2","A","true","AUDT45E9IWS3LZAX2V8B","[object Object]","[object Object]","NA","NA","1458942336836","lgc0"
"60883","false","dataResult","73","M","2","A","true","AUFDU4ZOBPEVX9S2ILHJ","[object Object]","[object Object]","NA","NA","1458942377186","lgc0"
