access, exit, bonus, terminated
AUFSKLBEG30PUW1CVT7N, EkeuNcD5sxACo6bU, 4249.375, false
AUFX9P8WTBJDRUQVL762, EgrZaXqYLURNl4hG, 3339.375, false
AUGHAN2WEXQT8695F3ZS, EUjyNu1n0Rza9hKL, 2414.375, false
AUH0N32TA6DGE4SUV1FO, ETPiXOMxrAszBjdl, 3071.875, false
