"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
"1769","false","Module2","8","1650","1492.575","11","1650","false","495","1155","0.3","true","AUF6TUXWL0SNKP15VZQY","[object Object]","[object Object]","NA","8","1458941075122","lgc0"
"2288","false","Module2","8","900","967.575","6","900","false","270","630","0.3","true","AU15B2A7CMUOLZ3EI4V6","[object Object]","[object Object]","NA","8","1458941075721","lgc0"
"2585","false","Module2","8","1650","1987.275","11","1","false","0.3","1649.7","0.3","true","AUVFS52E9L1MHWNPUC38","[object Object]","[object Object]","NA","8","1458941076277","lgc0"
"6364","false","Module2","8","1950","1702.575","13","1950","false","585","1365","0.3","true","AUFSKLBEG30PUW1CVT7N","[object Object]","[object Object]","NA","8","1458941079747","lgc0"
