"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
"2559","false","Module2","3","1500","1357.5","10","1200","false","360","1140","0.3","true","AU8XBJ7KGY2TN05WPV4E","[object Object]","[object Object]","NA","3","1458859133719","lgc0"
"3362","false","Module2","3","1500","1267.5","10","1500","false","450","1050","0.3","true","AUSW1YLGHXQOTRK3N0EF","[object Object]","[object Object]","NA","3","1458859134324","lgc0"
"3140","false","Module2","3","2100","2317.5","14","0","false","0","2100","0.3","true","AUUB86MPEWR4FXZT3OJH","[object Object]","[object Object]","NA","3","1458859134430","lgc0"
"22283","false","Module2","3","1350","1507.5","9","200","false","60","1290","0.3","true","AUQG89CMDYW5BVISFANP","[object Object]","[object Object]","NA","3","1458859153613","lgc0"
