"time","timeup","module","choise","select","value","totalECUs","done","player","stage","stage","step","round","timestamp","session"
"2767","false","resultModule4","5","A","0.80","NA","true","AUUB86MPEWR4FXZT3OJH","[object Object]","[object Object]","NA","NA","1458860162196","lgc0"
"5341","false","resultModule4","1","A","0.80","NA","true","AU8XBJ7KGY2TN05WPV4E","[object Object]","[object Object]","NA","NA","1458860169354","lgc0"
"18712","false","resultModule4","5","B","1.95","NA","true","AUQG89CMDYW5BVISFANP","[object Object]","[object Object]","NA","NA","1458860177973","lgc0"
"10323","false","resultModule4","4","A","0.80","NA","true","AUSW1YLGHXQOTRK3N0EF","[object Object]","[object Object]","NA","NA","1458860180799","lgc0"
