access, exit, bonus, terminated
AU5V28EZIO1TWQG6RLBC, EW6aVSXvdU70mFiw, 1979.1625, false
AU5YO6KGZAW1PM0UDVCB, EZ1wayUQTBeNRXDH, 2888.0125, false
AU63HO87C9LXTAEGQKUY, Eqr0tN18AswEkIDg, 2770.6625, false
AU6JOQDNV0IL2ZHUF5XT, EuM59GnokhPd6mCV, 3362.1625, false
