"time","timeup","value","role","other","module","done","player","stage","stage","step","round","timestamp","session"
11464,"false",750,"A","AUHYFVJMTOL8R7ZKXDBG","resultModule1","true","AUBLMZ91STJO3WYR2Q7K","[object Object]","[object Object]","NA","NA",1489613146310,"lgc0"
12822,"false",500,"B","AUF5R4AJ7V2LZWT68IGS","resultModule1","true","AUJMR90ZXK4EQFDLSB8W","[object Object]","[object Object]","NA","NA",1489613147635,"lgc0"
14686,"false",500,"A","AUJMR90ZXK4EQFDLSB8W","resultModule1","true","AUF5R4AJ7V2LZWT68IGS","[object Object]","[object Object]","NA","NA",1489613149380,"lgc0"
17971,"false",250,"B","AUBLMZ91STJO3WYR2Q7K","resultModule1","true","AUHYFVJMTOL8R7ZKXDBG","[object Object]","[object Object]","NA","NA",1489613152901,"lgc0"
