"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
4874,"false","Module2",1,1800,1967.925,12,1800,"false",180,1620,0.1,"true","AU8K40BLH6FGXC2QDERA","[object Object]","[object Object]","NA",1,1506289741070,"lgc0"
10877,"false","Module2",1,2250,2595.7250000000004,15,22,"false",2.2,2247.8,0.1,"true","AUNLB8P3AS4WDT2IHZ7Q","[object Object]","[object Object]","NA",1,1506289746423,"lgc0"
19546,"false","Module2",1,2250,2372.925,15,2250,"true",225,2025,0.1,"true","AURQ94J1EPG3M7YKV826","[object Object]","[object Object]","NA",1,1506289755068,"lgc0"
23169,"false","Module2",1,1650,1013.425,11,11,"true",984.5,665.5,0.1,"true","AU1PY72VN5CIW9EXAJRF","[object Object]","[object Object]","NA",1,1506289759370,"lgc0"
