"time","timeup","module","arrayAnsers","done","player","stage","stage","step","round","timestamp","session"
5708,"false","questionary3",5,"true","AUNLB8P3AS4WDT2IHZ7Q","[object Object]","[object Object]","NA","NA",1506290346701,"lgc0"
8777,"false","questionary3",13,"true","AURQ94J1EPG3M7YKV826","[object Object]","[object Object]","NA","NA",1506290349690,"lgc0"
8657,"false","questionary3",3,"true","AU8K40BLH6FGXC2QDERA","[object Object]","[object Object]","NA","NA",1506290350082,"lgc0"
13858,"false","questionary3",8,"true","AU1PY72VN5CIW9EXAJRF","[object Object]","[object Object]","NA","NA",1506290355751,"lgc0"
