"time","timeup","value","done","player","stage","stage","step","round","timestamp","session"
7814,"false",0,"true","AUWP0HJARCIVG25YK4M9","[object Object]","[object Object]","NA","NA",1488021073531,"lgc0"
16272,"false",700,"true","AUCT72Y6N4GBZJXKHPF8","[object Object]","[object Object]","NA","NA",1488021082126,"lgc0"
17977,"false",300,"true","AUV3DF97ZW0KGHY5TJRP","[object Object]","[object Object]","NA","NA",1488021083754,"lgc0"
