"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
1116,"false","Module2",6,2250,2351.25,15,0,"false",0,2250,0.3,"true","AU5IWF9KDZBSCYMQN841","[object Object]","[object Object]","NA",6,1518553229601,"lgc0"
4030,"false","Module2",6,1500,1301.25,10,1000,"false",300,1200,0.3,"true","AU2ZVFNIW7O9TRMXSPAJ","[object Object]","[object Object]","NA",6,1518553232391,"lgc0"
27166,"false","Module2",6,1350,1346.25,9,350,"false",105,1245,0.3,"true","AU8D0AI1Z4T9Q76CGR3E","[object Object]","[object Object]","NA",6,1518553255279,"lgc0"
30002,"false","Module2",6,2400,2501.25,16,0,"false",0,2400,0.3,"true","AU34IUXMVBNOWJG962L7","[object Object]","[object Object]","NA",6,1518553258278,"lgc0"
