"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
3622,"false","Module2",3,1800,2013.75,12,0,"false",0,1800,0.3,"true","AU5IWF9KDZBSCYMQN841","[object Object]","[object Object]","NA",3,1518552898382,"lgc0"
4020,"false","Module2",3,1350,1158.75,9,1350,"false",405,945,0.3,"true","AU2ZVFNIW7O9TRMXSPAJ","[object Object]","[object Object]","NA",3,1518552898722,"lgc0"
26994,"false","Module2",3,1500,1263.75,10,1500,"false",450,1050,0.3,"true","AU8D0AI1Z4T9Q76CGR3E","[object Object]","[object Object]","NA",3,1518552921520,"lgc0"
30004,"false","Module2",3,2250,2463.75,15,0,"false",0,2250,0.3,"true","AU34IUXMVBNOWJG962L7","[object Object]","[object Object]","NA",3,1518552924654,"lgc0"
