"time","timeup","value","input_value","role","other","module","done","player","stage","stage","step","round","timestamp","session"
47595,"false",500,400,"B","AUVY0NL8FJM9R2TC1O57","Module1","true","AUIMGTYB839D07JCEVHR","[object Object]","[object Object]","NA","NA",1488034780541,"lgc0"
49309,"false",500,500,"A","AUIMGTYB839D07JCEVHR","Module1","true","AUVY0NL8FJM9R2TC1O57","[object Object]","[object Object]","NA","NA",1488034780583,"lgc0"
122768,"true",0,500,"B","AUU46BNG5QOEXP1VFIW0","Module1","true","AU3CSW8MJT12O9P0HLA6","[object Object]","[object Object]","NA","NA",1488034853820,"lgc0"
120974,"false",1000,-1,"A","AU3CSW8MJT12O9P0HLA6","Module1","true","AUU46BNG5QOEXP1VFIW0","[object Object]","[object Object]","NA","NA",1488034854817,"lgc0"
