"time","timeup","done","player","stage","stage","step","round","timestamp","session"
"137941","true","true","AUS65PVB1YNX7MJ03TH2","[object Object]","[object Object]","NA","NA","1458940571244","lgc0"
"79431","false","true","AUS65PVB1YNX7MJ03TH2","[object Object]","[object Object]","NA","NA","1458940746165","lgc0"
"87045","false","true","AUDYK9RW2NCUAIHTJ5OZ","[object Object]","[object Object]","NA","NA","1458940746535","lgc0"
