"time","timeup","declaredEarnings","audited","deduction","prelimGain","roundIncome","correct","group","round","module","done","player","stage","stage","step","round","timestamp","session"
3052,"false",800,"false",240,1350,1271.25,9,"G",3,"resultModule2","true","AUTQ0FP8EBMVYJS4UR3I","[object Object]","[object Object]","NA",3,1505740838921,"lgc0"
11623,"false",300,"false",90,900,971.25,6,"K",3,"resultModule2","true","AU8AEXDS1UP7OW63J54C","[object Object]","[object Object]","NA",3,1505740849521,"lgc0"
7722,"false",0,"false",0,1350,1511.25,9,"G",3,"resultModule2","true","AUZB4QMU0XLW7PGS2VEF","[object Object]","[object Object]","NA",3,1505740850254,"lgc0"
9841,"false",1050,"true",315,1050,896.25,7,"K",3,"resultModule2","true","AUBWILR1QU6OEYP3AV0M","[object Object]","[object Object]","NA",3,1505740855562,"lgc0"
