"time","timeup","module","arrayAnsers","done","player","stage","stage","step","round","timestamp","session"
6147,"false","questionary3",7,"true","AUM9KV1OUR6DGIE743T2","[object Object]","[object Object]","NA","NA",1506298201006,"lgc0"
7620,"false","questionary3",16,"true","AUS3D7TXELPZUGNMYH56","[object Object]","[object Object]","NA","NA",1506298202586,"lgc0"
8503,"false","questionary3",8,"true","AUT75PZO24SJFAQW8EHI","[object Object]","[object Object]","NA","NA",1506298203341,"lgc0"
10695,"false","questionary3",12,"true","AUP2FX4V7WDBN690R58O","[object Object]","[object Object]","NA","NA",1506298206764,"lgc0"
