"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
2811,"false","Module2",2,900,895.025,6,900,"false",90,810,0.1,"true","AU8HRPI3EMV1ZYXNGUJA","[object Object]","[object Object]","NA",2,1489613012156,"lgc0"
4051,"false","Module2",2,1500,1435.025,10,1500,"false",150,1350,0.1,"true","AU4UEKRX0BW2ZG5I8O3F","[object Object]","[object Object]","NA",2,1489613013272,"lgc0"
3423,"false","Module2",2,1200,1185.025,8,1000,"false",100,1100,0.1,"true","AUTM0NIPBFZC3S91YL7J","[object Object]","[object Object]","NA",2,1489613013303,"lgc0"
4990,"false","Module2",2,1350,1434.9250000000002,9,1,"false",0.1,1349.9,0.1,"true","AUUOMIYPARVBLJHS9WQ4","[object Object]","[object Object]","NA",2,1489613014442,"lgc0"
