"time","timeup","value","role","other","module","done","player","stage","stage","step","round","timestamp","session"
10131,"false",500,"A","AU1ZORBXWHSV9T54Y8LP","resultModule1","true","AU1GUFTK8EIBCQHSR9ZN","[object Object]","[object Object]","NA","NA",1514998263378,"lgc0"
12499,"false",500,"B","AU1GUFTK8EIBCQHSR9ZN","resultModule1","true","AU1ZORBXWHSV9T54Y8LP","[object Object]","[object Object]","NA","NA",1514998265004,"lgc0"
13833,"false",500,"B","AU2TQ1FYLMRBD347I80H","resultModule1","true","AU15B2A7CMUOLZ3EI4V6","[object Object]","[object Object]","NA","NA",1514998266237,"lgc0"
18469,"false",500,"A","AU15B2A7CMUOLZ3EI4V6","resultModule1","true","AU2TQ1FYLMRBD347I80H","[object Object]","[object Object]","NA","NA",1514998270851,"lgc0"
