"time","timeup","module","diceNumber","numberEntered","done","player","stage","stage","step","round","timestamp","session"
9150,"false","dice",5,5,"true","AU1GUFTK8EIBCQHSR9ZN","[object Object]","[object Object]","NA","NA",1514998101936,"lgc0"
11050,"false","dice",0,1,"true","AU2TQ1FYLMRBD347I80H","[object Object]","[object Object]","NA","NA",1514998103910,"lgc0"
13265,"false","dice",4,4,"true","AU15B2A7CMUOLZ3EI4V6","[object Object]","[object Object]","NA","NA",1514998105923,"lgc0"
13725,"false","dice",2,2,"true","AU1ZORBXWHSV9T54Y8LP","[object Object]","[object Object]","NA","NA",1514998106768,"lgc0"
