"time","timeup","value","input_value","role","other","module","done","player","stage","stage","step","round","timestamp","session"
"7884","false","500","0","B","AUDR0V2G1MT8KH4PFWIL","Module1","true","AUTLKGUVH5BMDQ28EZJW","[object Object]","[object Object]","NA","NA","1458942965293","lgc0"
"7916","false","500","500","A","AUTLKGUVH5BMDQ28EZJW","Module1","true","AUDR0V2G1MT8KH4PFWIL","[object Object]","[object Object]","NA","NA","1458942965418","lgc0"
"9815","false","500","500","A","AUB5TFGOE73D9HCNWV28","Module1","true","AU6ZJ1EF0DXQA9SKBOLU","[object Object]","[object Object]","NA","NA","1458942968654","lgc0"
"11314","false","500","0","B","AU6ZJ1EF0DXQA9SKBOLU","Module1","true","AUB5TFGOE73D9HCNWV28","[object Object]","[object Object]","NA","NA","1458942968783","lgc0"
