"time","timeup","module","diceNumber","numberEntered","done","player","stage","stage","step","round","timestamp","session"
6042,"false","dice",5,5,"true","AUDYK9RW2NCUAIHTJ5OZ","[object Object]","[object Object]","NA","NA",1519763276568,"lgc0"
7804,"false","dice",3,3,"true","AUE7VNLDBM1OF2YJT09P","[object Object]","[object Object]","NA","NA",1519763278032,"lgc0"
17767,"false","dice",2,2,"true","AUDNKE1W9XO4Q7LPYF6R","[object Object]","[object Object]","NA","NA",1519763288469,"lgc0"
