"time","timeup","declaredEarnings","audited","deduction","prelimGain","roundIncome","correct","group","round","module","done","player","stage","stage","step","round","timestamp","session"
3794,"false",600,"false",180,600,581.25,4,"G",1,"resultModule2","true","AU5YO6KGZAW1PM0UDVCB","[object Object]","[object Object]","NA",1,1506265310485,"lgc0"
10050,"false",600,"true",180,600,581.25,4,"G",1,"resultModule2","true","AUNLB8P3AS4WDT2IHZ7Q","[object Object]","[object Object]","NA",1,1506265316266,"lgc0"
20134,"false",900,"false",270,900,791.25,6,"K",1,"resultModule2","true","AUKVJS508X7CIWHQPOAN","[object Object]","[object Object]","NA",1,1506265327296,"lgc0"
10461,"false",50,"false",15,750,896.25,5,"K",1,"resultModule2","true","AUJS4UVNGDCAHI9L5KPT","[object Object]","[object Object]","NA",1,1506265330483,"lgc0"
