"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
2838,"false","Module2",3,1950,1820.375,13,1950,"false",195,1755,0.1,"true","AUMW1I52BCG8QF37PV4N","[object Object]","[object Object]","NA",3,1489617530158,"lgc0"
3000,"false","Module2",3,1200,1245.375,8,200,"false",20,1180,0.1,"true","AUVFS52E9L1MHWNPUC38","[object Object]","[object Object]","NA",3,1489617530220,"lgc0"
8503,"false","Module2",3,3300,3332.375,22,330,"false",33,3267,0.1,"true","AU1ZORBXWHSV9T54Y8LP","[object Object]","[object Object]","NA",3,1489617535747,"lgc0"
8544,"false","Module2",3,1350,1401.875,9,135,"false",13.5,1336.5,0.1,"true","AU5V28EZIO1TWQG6RLBC","[object Object]","[object Object]","NA",3,1489617536002,"lgc0"
