access, exit, bonus, terminated
AUQFAV4SOW3709TMBJ12, ECqDrB4yX8GeIWEc, 2865, false
AUPUVWYTE0GD43LONXAI, EaQR6Sf5YTcU1JDw, 4202.5, false
AUPSVBTN5HCY9XGZ480J, EHRYKW95LIxvBZMd, 4590, false
