"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
"8192","false","Module2","1","1050","1106.25","7","500","false","50","1000","0.1","true","AU891ZX5TVB2YC6E03MQ","[object Object]","[object Object]","NA","1","1458859676670","lgc0"
"9098","false","Module2","1","600","646.25","4","600","false","60","540","0.1","true","AU0LFJQWSNZEIUP16C7A","[object Object]","[object Object]","NA","1","1458859677945","lgc0"
"12618","false","Module2","1","1950","1861.25","13","1950","false","195","1755","0.1","true","AU63HO87C9LXTAEGQKUY","[object Object]","[object Object]","NA","1","1458859681251","lgc0"
"19097","false","Module2","1","1200","1186.25","8","1200","false","120","1080","0.1","true","AUB8E7VGZFI1YJL6PXS0","[object Object]","[object Object]","NA","1","1458859687578","lgc0"
