"time","timeup","module","age","gender","politics","trust","done","player","stage","stage","step","round","timestamp","session"
"11323","false","dataResult","31","M","1","A","true","AU5NXK3JD2TZP6Y9HI7G","[object Object]","[object Object]","NA","NA","1458945317885","lgc0"
"16365","false","dataResult","37","F","5","A","true","AUB75HWTFM0XGSNL34C1","[object Object]","[object Object]","NA","NA","1458945322350","lgc0"
"16026","false","dataResult","23","M","0","A","true","AUJEHG7K3ICVDXAW8R9F","[object Object]","[object Object]","NA","NA","1458945323294","lgc0"
"25767","false","dataResult","43","F","2","B","true","AUHGJS6FMX0DIO2LNYUP","[object Object]","[object Object]","NA","NA","1458945331442","lgc0"
