access, exit, bonus, terminated
AUT75PZO24SJFAQW8EHI, EGV9DyEactodCfjN, 3.764375, false
AUXAJEYIGULW4DBHM3VP, EeGrl2R0LM38ACxv, 3.259375, false
AUS3D7TXELPZUGNMYH56, EYJViBN3wA5tKgOm, 2.989375, false
AU34IZO8QLBCKU0V29D1, E9kVBxqiZ7cHJfSu, 2.086875, false
