"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
4472,"false","Module2",0,1650,1570,11,1650,"false",165,1485,0.1,"true","AUXAJEYIGULW4DBHM3VP","[object Object]","[object Object]","NA",0,1488027548595,"lgc0"
7643,"false","Module2",0,300,375,2,100,"false",10,290,0.1,"true","AU34IZO8QLBCKU0V29D1","[object Object]","[object Object]","NA",0,1488027551468,"lgc0"
8163,"false","Module2",0,1200,1285,8,0,"false",0,1200,0.1,"true","AUS3D7TXELPZUGNMYH56","[object Object]","[object Object]","NA",0,1488027552230,"lgc0"
20332,"false","Module2",0,1650,1570,11,1650,"false",165,1485,0.1,"true","AUT75PZO24SJFAQW8EHI","[object Object]","[object Object]","NA",0,1488027564250,"lgc0"
