"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
"1338","false","Module2","10","1800","1931.25","12","0","false","0","1800","0.1","true","AU3XCNV1WUP7HAQZEIB8","[object Object]","[object Object]","NA","10","1458940661560","lgc0"
"2095","false","Module2","10","1650","1616.25","11","1650","false","165","1485","0.1","true","AUFX9P8WTBJDRUQVL762","[object Object]","[object Object]","NA","10","1458940661993","lgc0"
"2063","false","Module2","10","2250","2156.25","15","2250","false","225","2025","0.1","true","AUZ6N510COADMH7JIGST","[object Object]","[object Object]","NA","10","1458940662158","lgc0"
"4003","false","Module2","10","1350","1346.25","9","1350","false","135","1215","0.1","true","AUMT14D2A9BRPH75KZGN","[object Object]","[object Object]","NA","10","1458940665044","lgc0"
