"time","timeup","module","age","gender","politics","trust","done","player","stage","stage","step","round","timestamp","session"
19158,"false","dataResult",65,"M",5,"A","true","AU2X1ESN4IQ6HDZ3BL90","[object Object]","[object Object]","NA","NA",1514998620116,"lgc0"
23281,"false","dataResult",62,"F",6,"A","true","AU2A683XSLDUWFPYZTBN","[object Object]","[object Object]","NA","NA",1514998624031,"lgc0"
30619,"false","dataResult",35,"F",3,"A","true","AU2KA38WNS1XIUTL4PZY","[object Object]","[object Object]","NA","NA",1514998631293,"lgc0"
44165,"false","dataResult",70,"M",4,"A","true","AU1I24FYT6VKMGOUD0JR","[object Object]","[object Object]","NA","NA",1514998644929,"lgc0"
