"time","timeup","module","choise","select","value","totalECUs","done","player","stage","stage","step","round","timestamp","session"
3993,"false","resultModule4",7,"A","1.00","NA","true","AU2X1ESN4IQ6HDZ3BL90","[object Object]","[object Object]","NA","NA",1514998795588,"lgc0"
9963,"false","resultModule4",9,"B","1.95","NA","true","AU1I24FYT6VKMGOUD0JR","[object Object]","[object Object]","NA","NA",1514998812920,"lgc0"
19887,"false","resultModule4",8,"B","0.05","NA","true","AU2KA38WNS1XIUTL4PZY","[object Object]","[object Object]","NA","NA",1514998815733,"lgc0"
10277,"false","resultModule4",3,"A","0.80","NA","true","AU2A683XSLDUWFPYZTBN","[object Object]","[object Object]","NA","NA",1514998824296,"lgc0"
