"time","timeup","declaredEarnings","audited","deduction","prelimGain","roundIncome","correct","group","round","module","done","player","stage","stage","step","round","timestamp","session"
3216,"false",350,"false",105,1500,1421.25,10,"K",1,"resultModule2","true","AUM9KV1OUR6DGIE743T2","[object Object]","[object Object]","NA",1,1488028297731,"lgc0"
5017,"false",0,"false",0,1200,1226.25,8,"G",1,"resultModule2","true","AU1I24FYT6VKMGOUD0JR","[object Object]","[object Object]","NA",1,1488028307016,"lgc0"
10439,"false",0,"false",0,1800,1826.25,12,"K",1,"resultModule2","true","AUJR7QU261F84MT3OZ9E","[object Object]","[object Object]","NA",1,1488028318706,"lgc0"
9475,"false",0,"false",0,1800,1826.25,12,"G",1,"resultModule2","true","AUP2FX4V7WDBN690R58O","[object Object]","[object Object]","NA",1,1488028324502,"lgc0"
