"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
2959,"false","Module2",3,1500,1449.375,10,1500,"false",450,1050,0.3,"true","AUCXOHYMKT54SEPRDB9A","[object Object]","[object Object]","NA",3,1506253922701,"lgc0"
5726,"false","Module2",3,1500,1539.375,10,1200,"false",360,1140,0.3,"true","AU2TQ1FYLMRBD347I80H","[object Object]","[object Object]","NA",3,1506253925466,"lgc0"
6467,"false","Module2",3,1350,1546.875,9,675,"false",202.5,1147.5,0.3,"true","AUH4GFEBVOI3D7P2QTYL","[object Object]","[object Object]","NA",3,1506253926180,"lgc0"
7672,"false","Module2",3,1950,1764.375,13,1950,"false",585,1365,0.3,"true","AU8YU7P3HXW5LEC61MZ9","[object Object]","[object Object]","NA",3,1506253927410,"lgc0"
