"time","timeup","module","age","gender","politics","trust","done","player","stage","stage","step","round","timestamp","session"
"15781","false","dataResult","27","F","5","B","true","AUMZO301CKS56HALGU8X","[object Object]","[object Object]","NA","NA","1458859693712","lgc0"
"16701","false","dataResult","39","F","6","B","true","AU5VUBT3WCQ6YEON9084","[object Object]","[object Object]","NA","NA","1458859693825","lgc0"
"20831","false","dataResult","59","F","4","A","true","AU3TF71QPAWY2DXG8KM4","[object Object]","[object Object]","NA","NA","1458859698020","lgc0"
"23360","false","dataResult","41","F","0","A","true","AU7G6FLPVBWSHN5ZYRE8","[object Object]","[object Object]","NA","NA","1458859700311","lgc0"
