"time","timeup","module","arrayAnswers","0","1","2","3","4","5","6","7","8","9","done","player","stage","stage","step","round","timestamp","session"
"33557","false","Module4","A\,A\,A\,A\,A\,A\,B\,B\,B\,B","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","true","AU7G6FLPVBWSHN5ZYRE8","[object Object]","[object Object]","NA","NA","1458859602822","lgc0"
"39843","false","Module4","A\,A\,B\,A\,B\,A\,A\,B\,B\,B","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","true","AU3TF71QPAWY2DXG8KM4","[object Object]","[object Object]","NA","NA","1458859609135","lgc0"
"56329","false","Module4","A\,A\,A\,A\,A\,B\,B\,B\,B\,B","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","true","AUMZO301CKS56HALGU8X","[object Object]","[object Object]","NA","NA","1458859627286","lgc0"
"101691","false","Module4","A\,A\,A\,A\,A\,A\,A\,A\,A\,B","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","true","AU5VUBT3WCQ6YEON9084","[object Object]","[object Object]","NA","NA","1458859676197","lgc0"
