"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
"2025","false","Module2","3","3300","2891.25","22","3300","false","990","2310","0.3","true","AUPR179G0VXI2CWLOSDF","[object Object]","[object Object]","NA","3","1458860675923","lgc0"
"5615","false","Module2","3","1650","1736.25","11","1650","false","495","1155","0.3","true","AU4KB8UXDHECP2GW1YFS","[object Object]","[object Object]","NA","3","1458860678415","lgc0"
"6098","false","Module2","3","2700","2471.25","18","2700","false","810","1890","0.3","true","AULTUQHAJ18IPORCE7BK","[object Object]","[object Object]","NA","3","1458860678584","lgc0"
"3547","false","Module2","3","1350","1901.25","9","100","false","30","1320","0.3","true","AU51IRVUO6C24ZNPS38T","[object Object]","[object Object]","NA","3","1458860681233","lgc0"
