"time","timeup","module","diceNumber","numberEntered","done","player","stage","stage","step","round","timestamp","session"
8464,"false","dice",4,6,"true","AUMVF32Y1PSZBC4JGXK8","[object Object]","[object Object]","NA","NA",1505743302041,"lgc0"
8705,"false","dice",2,2,"true","AU4X63OAKJMPYFW0UZB9","[object Object]","[object Object]","NA","NA",1505743302870,"lgc0"
12954,"false","dice",3,3,"true","AU21GXTBRFJ85YUV9LDK","[object Object]","[object Object]","NA","NA",1505743306080,"lgc0"
59898,"false","dice",5,5,"true","AUQG89CMDYW5BVISFANP","[object Object]","[object Object]","NA","NA",1505743354264,"lgc0"
