"time","timeup","module","age","gender","politics","trust","done","player","stage","stage","step","round","timestamp","session"
13035,"false","dataResult",19,"F",7,"A","true","AUCT72Y6N4GBZJXKHPF8","[object Object]","[object Object]","NA","NA",1519763237301,"lgc0"
19669,"false","dataResult",27,"M",4,"A","true","AUDC5NOUKWFAI7MRGLXT","[object Object]","[object Object]","NA","NA",1519763243973,"lgc0"
34642,"false","dataResult",31,"M",5,"A","true","AU3CSW8MJT12O9P0HLA6","[object Object]","[object Object]","NA","NA",1519763259216,"lgc0"
47613,"false","dataResult",49,"F",3,"B","true","AUCXOHYMKT54SEPRDB9A","[object Object]","[object Object]","NA","NA",1519763271850,"lgc0"
