"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
5305,"false","Module2",5,1350,1406.25,9,1300,"false",130,1220,0.1,"true","AUFKIOJDXE8HPB7Z0VCW","[object Object]","[object Object]","NA",5,1488031156998,"lgc0"
6184,"false","Module2",5,1950,1941.25,13,1950,"false",195,1755,0.1,"true","AUZ3IU97J2TNPKXH0YGW","[object Object]","[object Object]","NA",5,1488031158030,"lgc0"
7532,"false","Module2",5,2100,2076.25,14,2100,"false",210,1890,0.1,"true","AU9FEM16JWBU23YPXSRT","[object Object]","[object Object]","NA",5,1488031159257,"lgc0"
28556,"false","Module2",5,2100,2076.25,14,2100,"false",210,1890,0.1,"true","AUN67FX9EWJ4URSTKH1G","[object Object]","[object Object]","NA",5,1488031180316,"lgc0"
