"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
"2100","false","Module2","10","1200","1251.25","8","800","false","80","1120","0.1","true","AUINXFO4TE6HQ01CDRZ5","[object Object]","[object Object]","NA","10","1458859146676","lgc0"
"2281","false","Module2","10","3300","3431.25","22","0","false","0","3300","0.1","true","AU2A683XSLDUWFPYZTBN","[object Object]","[object Object]","NA","10","1458859146983","lgc0"
"3767","false","Module2","10","1950","1886.25","13","1950","false","195","1755","0.1","true","AUWP0HJARCIVG25YK4M9","[object Object]","[object Object]","NA","10","1458859148250","lgc0"
"9379","false","Module2","10","2550","2431.25","17","2500","false","250","2300","0.1","true","AUEPWVDT14N0HL2SA953","[object Object]","[object Object]","NA","10","1458859153839","lgc0"
