"time","timeup","value","role","other","module","done","player","stage","stage","step","round","timestamp","session"
10690,"false",500,"A","AUPWJO8QBMC2H6G097IF","resultModule1","true","AUB8E7VGZFI1YJL6PXS0","[object Object]","[object Object]","NA","NA",1506255179342,"lgc0"
12899,"false",500,"B","AUB8E7VGZFI1YJL6PXS0","resultModule1","true","AUPWJO8QBMC2H6G097IF","[object Object]","[object Object]","NA","NA",1506255181384,"lgc0"
