"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
"3583","false","Module2","2","1350","1365","9","700","false","70","1280","0.1","true","AU7KPGVJZH0UX521D6LO","[object Object]","[object Object]","NA","2","1458869892832","lgc0"
"6511","false","Module2","2","900","940","6","450","false","45","855","0.1","true","AUNA950ME3SYLJOI12R7","[object Object]","[object Object]","NA","2","1458869892953","lgc0"
"7298","false","Module2","2","1500","1570","10","150","false","15","1485","0.1","true","AUUGPB8DISTOVC4XJYRW","[object Object]","[object Object]","NA","2","1458869893856","lgc0"
"12129","false","Module2","2","2100","1975","14","2100","false","210","1890","0.1","true","AU9ID3BLWFHN0K4PJ8TZ","[object Object]","[object Object]","NA","2","1458869898632","lgc0"
