"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
3696,"false","Module2",1,3450,3490.25,23,0,"false",0,3450,0.1,"true","AU1I24FYT6VKMGOUD0JR","[object Object]","[object Object]","NA",1,1517342813048,"lgc0"
3887,"false","Module2",1,600,580.25,4,600,"false",60,540,0.1,"true","AU21GXTBRFJ85YUV9LDK","[object Object]","[object Object]","NA",1,1517342813533,"lgc0"
4609,"false","Module2",1,1050,1010.25,7,800,"false",80,970,0.1,"true","AU2A683XSLDUWFPYZTBN","[object Object]","[object Object]","NA",1,1517342814098,"lgc0"
6183,"false","Module2",1,2100,2119.25,14,210,"false",21,2079,0.1,"true","AU2KA38WNS1XIUTL4PZY","[object Object]","[object Object]","NA",1,1517342815833,"lgc0"
