"time","timeup","value","role","other","module","done","player","stage","stage","step","round","timestamp","session"
8752,"false",400,"B","AUPBCUW2D3J5MLX16R90","resultModule1","true","AUJUBIVK2SWY8043ZXER","[object Object]","[object Object]","NA","NA",1488038775853,"lgc0"
11563,"false",700,"A","AU34IUXMVBNOWJG962L7","resultModule1","true","AUL1N3CVPRIS7FJHGEKW","[object Object]","[object Object]","NA","NA",1488038778904,"lgc0"
23743,"false",600,"A","AUJUBIVK2SWY8043ZXER","resultModule1","true","AUPBCUW2D3J5MLX16R90","[object Object]","[object Object]","NA","NA",1488038790755,"lgc0"
29999,"false","NA","NA","NA","NA","true","AU34IUXMVBNOWJG962L7","[object Object]","[object Object]","NA","NA",1488038797437,"lgc0"
