"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
3766,"false","Module2",10,600,656.6666666666666,4,0,"false",0,600,0.1,"true","AUP3YGBLMRCW6DTAQ97X","[object Object]","[object Object]","NA",10,1488021779372,"lgc0"
11656,"false","Module2",10,1500,1406.6666666666667,10,1500,"false",150,1350,0.1,"true","AUJS4UVNGDCAHI9L5KPT","[object Object]","[object Object]","NA",10,1488021786983,"lgc0"
14243,"false","Module2",10,1950,1986.6666666666667,13,200,"false",20,1930,0.1,"true","AU8K40BLH6FGXC2QDERA","[object Object]","[object Object]","NA",10,1488021789415,"lgc0"
